,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
5413,60.62,36TH ST,UNIVERSITY AV,POLK AV,Fair,20140813,1405,36TH ST,UNIVERSITY AV,0,A,4,A,08,A,A,G
5414,51.63,GENESEE AV,CONRAD AV,APPLETON ST,Fair,20140812,1516,GENESEE AV,APPLETON ST,0,A,3,A,03,A,A,H
5415,67.28,FRIARS RD,SANTO RD,RIVERDALE ST,Fair,20140814,2043,FRIARS RD,SANTO RD,0,A,3,A,12,C,A,H
5416,31.94,UNIVERSITY AV,VERMONT ST,RICHMOND ST,Poor,20140813,1311,UNIVERSITY AV,RICHMOND ST,0,A,4,-,- ,A,A,H
5417,36.75,KESLING ST,LIMERICK AV,ONATE AV,Poor,20140814,0838,KESLING ST,LIMERICK AV,0,A,4,A,09,A,A,H
5418,19.67,KEARNY MESA RD,KEARNY VILLA RD,I-15 SB ON RA,Poor,20140814,1213,KEARNY MESA RD,KEARNY MESA RD 4240,0,A,3,A,09,A,A,H
5419,23.78,W BEECH ST,FRONT ST,UNION ST,Poor,20140816,0705,BEECH ST,FRONT ST,0,A,4,A,12,A,A,H
5420,75.68,05TH AV,WASHINGTON ST,04TH AV,Good,20140816,1120,05TH AV,05TH AV 1400,0,A,4,A,12,A,A,H
5421,59.98,MIRA MESA BL,WESTVIEW PY,SCRIPPS RANCH BL,Fair,20140818,0955,MIRA MESA BL,SCRIPPS RANCH BL,0,A,4,A,04,A,A,H
5422,77.94,ARNOLD AV,UPAS ST,MYRTLE AV,Good,20140817,2019,ARNOLD AV,UPAS ST,0,A,4,A,05,C,A,H
5423,58.25,PACIFIC HY,W CEDAR ST,W GRAPE ST,Fair,20140818,0630,PACIFIC HY,GRAPE ST,0,A,4,A,12,A,A,H
5424,87.65,SKYLINE DR,S SYCHAR RD,LAUSANNE DR,Good,20140812,2000,SKYLINE  DR,SYCHAR RD,0,A,3,A,- ,C,A,H
5425,26.56,EVANS PL,05TH AV,06TH AV,Poor,20140809,1700,EVANS PL,06TH AV,0,A,4,A,21,A,A,H
5426,39,VAN DYKE AV,UNIVERSITY AV,POLK AV,Poor,20140815,2246,VAN DYKE AV,POLK,0,A,3,A,08,C,A,H
5427,40.53,EL CAJON BL,45TH ST,CHAMOUNE AV,Fair,20140809,2239,EL CAJON BL,45TH ST,0,A,2,A,11,C,A,H
5428,24.84,CAMPANILE DR,DOROTHY DR,MARY LANE DR,Poor,20140816,1846,CAMPANILE DR,MARY LANE DR,0,A,4,A,08,A,A,H
5429,51,MISSION GORGE RD,MISSION GORGE PL,TWAIN AV,Fair,20140817,1600,MISSION GREENS RD,MISSION GORGE PL,0,A,4,A,04,A,A,H
5430,36.01,S 47TH ST,47TH ST,FRANKLIN AV,Poor,20140815,1604,SOUTH 47TH ST,S 47TH ST 800,0,A,4,A,09,A,A,H
5431,87.54,LINDA VISTA RD,FULTON ST,LEVANT ST,Good,20140815,1745,LINDA VISTA RD,FULTON ST,0,A,3,A,03,A,A,H
5432,67.28,FRIARS RD,SANTO RD,RIVERDALE ST,Fair,20140816,1500,FRIARS RD,SANTO RD,0,A,3,A,12,A,A,H
5433,67.28,FRIARS RD,SANTO RD,RIVERDALE ST,Fair,20140816,1735,FRIARS RD,SANTO RD,0,A,4,A,12,A,A,H
5434,35.37,MARBURY AV,CHART HOUSE ST,MIRA MESA BL,Poor,20140818,1832,MARBURY AV,MIRA MESA BL,0,B,3,A,10,A,A,H
5435,14.78,W LAUREL ST,UNION ST,STATE ST,Poor,20140815,2214,WEST LAUREL ST,STATE ST,0,A,4,A,03,C,A,H
5436,100,BERWICK DR,BETTYHILL DR,BOXFORD DR,Good,20140818,1547,BERWICK DR,BOXFORD DR,0,A,3,A,- ,A,A,H
5437,75.1,C ST,19TH ST,20TH ST,Good,20140813,0923,C ST,11TH ST,0,A,3,A,12,A,A,H
5438,39,S 61ST ST,SKYLINE DR,ALDERLEY ST,Poor,20140815,1910,61ST ST,SKYLINE,0,A,3,A,09,A,A,H
5439,100,STONEBRIDGE PY,GREENSTONE CT,STONECROFT TR,Good,20140822,1615,STONEBRIDGE PKWY,STONECROFT TR,0,A,4,A,08,A,A,H
5440,50.68,POWAY RD,RANCHO PENASQUITOS BL,SABRE SPRINGS PY,Fair,20140323,1155,POWAY RD,SABRE SPRINGS PKWY,0,A,4,A,12,A,A,B
5441,87.6,SEAFIRE PT,SEAGLEN WY,OCEAN VIEW HILLS PY,Good,20140814,2500,SEA FIRE PT,OCEAN VIEW HILLS PKWY,0,A,4,A,12,A,A,H
5442,64.37,MIRAMAR RD,MIRAMAR PL,CAM SANTA FE,Fair,20140821,1209,MIRAMAR RD,CAMINO SANTA FE,0,A,4,A,12,A,A,H
5443,42.85,IMPERIAL AV,60TH ST,61ST ST,Fair,20140822,0820,IMPERIAL,60TH ST,0,A,4,A,04,A,A,H
5444,80.38,42ND ST,WIGHTMAN ST,UNIVERSITY AV,Good,20140825,1007,42ND ST,UNIVERSITY AV,0,A,4,A,12,A,A,H
5445,44.83,EL CAJON BL,42ND ST,COPELAND AV,Fair,20140823,1230,EL CAJON BL,COPELAND AV,0,A,4,A,17,A,A,H
5446,31.33,45TH ST,ORANGE AV,EL CAJON BL,Poor,20140825,0942,45TH ST,ORANGE AV,0,A,4,A,21,A,A,H
5447,82.09,07TH AV,E ST,BROADWAY,Good,20140825,0930,07TH AV,BROADWAY,0,A,3,A,03,A,A,H
5448,48.58,GENESEE AV,MARLESTA DR,BOYD AV,Fair,20140820,1406,GENESEE AV,MARLESTA DR,0,A,4,A,03,A,A,H
5449,54.3,01ST AV,BROADWAY,C ST,Fair,20140825,2148,01ST AV,C ST,0,A,4,A,04,C,A,H
5450,61.09,HARBOR DR,SAMPSON ST,SCHLEY ST,Fair,20140824,1037,HARBOR DR,SCHLEY ST,0,A,4,A,08,A,A,H
5451,100,BAYVIEW HEIGHTS DR,FEDERAL BL,BAYVIEW HEIGHTS PL,Good,20140824,2050,BAYVIEW HTS DR,BAYVIEW HTS PL,0,A,4,A,08,C,A,H
5452,81,SPECTRUM CENTER BL,OVERLAND AV,RUFFIN RD,Good,20140820,1447,SPECTRUM CTR BL,RUFFIN RD,0,B,4,A,12,A,A,H
5453,55.8,CLAIREMONT MESA BL,CONVOY ST,MERCURY ST,Fair,20140825,1131,CLAIREMONT MESA BL,MERCURY ST,0,A,3,A,05,A,A,H
